trackNumber	trackName	location	motifs	bandcampID	youtubeURL
1	ANOTHER HIM	Introduction	Gaster's Theme	4079358039	
2	Beginning	Driving to school	Don't Forget/Once Upon a Time	233139665	
3	School	School (Alphys's classroom)	Don't Forget/Hometown/Snowdin	1503040481	
4	Susie	Susie's theme	Susie	533692211	
5	The Door	When a Dark World is discovered/Discovering Castle Town	The Door	1233767074	
6	Cliffs	Unnamed cliffs area/Great Board		3883351072	
7	The Chase	Chase sequences in the unnamed cliffs area and Scarlet Forest/Beginning of Annoying Mouse Room 3/Intro to Monster Movie/In pursuit of the Knight/Chase sequences in the Dark Sanctuary	The Door	719384884	
8	The Legend	While Ralsei explains the prophecy	The Legend	1902746563	
9	Lancer	Lancer's theme	Lancer	283351675	
10	Rude Buster	Standard enemy encounters in Chapters 1-3	Rude Buster	277078843	
11	Empty Town	Castle Town (empty)	The Legend	1449825800	
12	Weird Birds	Just past Chapter 1's Great Door/Walking with Lancer in Scarlet Forest		839991135	
13	Field of Hopes and Dreams	Field of Hopes and Dreams	Don't Forget/Field of Hopes and Dreams	2194848856	
14	Fanfare (from Rose of Winter)	New party member/When Susie attempts to take the JusticeAxe		184929705	
15	Lantern	Seam's shop	Rude Buster	757684703	
16	I'm Very Bad	When Lancer attempts to imitate Susie at the Great Board	Lancer	2199758385	
17	Checker Dance	Battles against K. Round	Checker Dance	3066162326	
18	Quiet Autumn	Scarlet Forest shortcut door and Bake Sale	Quiet Autumn	1449142442	
19	Scarlet Forest	Scarlet Forest	Don't Forget/Field of Hopes and Dreams/Quiet Autumn	587464976	
20	Thrash Machine	Lancer Industries blueprints	Lancer	156219115	
21	Vs. Lancer	Battle against Lancer and Susie	Lancer	4142811015	
22	Basement	Card Castle (Prison B1)	Card Castle	2818131202	
23	Imminent Death	Before Susie attacks Lancer/Susie confronting Ralsei after the Sound of Justice battle		3828607229	
24	Vs. Susie	Susie's battle against Lancer	Susie	36089890	
25	Card Castle	Card Castle	Lancer/Card Castle	3455597901	
26	Rouxls Kaard	Encounters with Rouxls Kaard	Rouxls Kaard	3892137683	
27	April 2012	Card Castle (Club room)		3155688731	
28	Hip Shop	Rouxls Kaard's shop/Color Cafe	Hip Shop	63012668	
29	Gallery	Before the battles against King, Queen/Before the battle against the Titan/Cutscene after King's battle		3730492972	
30	Chaos King	Battle against King	The Legend/Lancer/Card Castle	1697589961	
31	Darkness Falls	After giving up on a Game Over	Darkness Falls	2226598762	
32	The Circus	Card Castle (??????)	THE WORLD REVOLVING	1536470043	
33	THE WORLD REVOLVING	Battle against Jevil	Don't Forget/THE WORLD REVOLVING	3560257017	
34	Friendship	Card Castle (Floor 5F)	Don't Forget/Friendship	1452856228	
35	THE HOLY	Before sealing the Card Kingdom fountain/Before sealing the Cyber World fountain	THE HOLY	438972358	
36	Your Power	Sealing a Dark Fountain	Don't Forget	3639634436	
37	A Town Called Hometown	Hometown (Chapters 1 and 2)	Don't Forget/Hometown/Snowdin	2744821801	
38	You Can Always Come Home	Dreemurr residence/Tea party cutscene in Ralsei's Castle	Don't Forget/Once Upon a Time/Home	2204087124	
39	Don't Forget	Chapter 1 end credits	Don't Forget	3339091064	
40	Before the Story	File Select screen in Chapters 1-3 after completing the Chapter	Once Upon a Time	66754439	
41	AUDIO_DRONE	Chapter Select screen/When the Voice speaks to the player/During a Chapter 1 Game Over		0	
42	man.ogg	Egg rooms		0	
